dim_hidden,seed,param_num_u,train_loss_euler,test_loss_euler,abs_rel_err_test_policy_median,abs_rel_err_test_policy_max,abs_rel_err_test_policy_10_percentile,abs_rel_err_test_policy_90_percentile
4,13,13,1e-08,2.2388146447838153e-08,0.0005130860372446477,0.0006827760371379554,0.00017431021842639893,0.0006640750216320157
4,14,13,1e-08,1e-08,0.0003133318678010255,0.00043320804252289236,7.520156214013696e-05,0.0004196613735985011
4,15,13,1e-08,1e-08,0.000136802569613792,0.00028743661823682487,3.807726898230612e-05,0.0002700861368793994
4,16,13,1e-08,1e-08,0.000327592744724825,0.00044917676132172346,8.555182284908369e-05,0.0004355050332378596
4,17,13,2.7166443032911047e-06,4.572636498778593e-06,0.0029944702982902527,0.006273983512073755,0.0012857462279498577,0.005660412833094597
4,18,13,1e-08,1e-08,0.0002460001560393721,0.00035610204213298857,4.237790562910959e-05,0.00034341885475441813
4,19,13,9.761349065229297e-05,0.004035100340843201,0.05390940234065056,0.1135445088148117,0.029320470988750458,0.08978687971830368
4,20,13,1e-08,1e-08,0.000286338065052405,0.00040127066313289106,5.3612806368619204e-05,0.0003886735939886421
4,21,13,1e-08,0.030172262340784073,0.0002535986714065075,0.18185795843601227,4.916048055747524e-05,0.0003513456613291055
4,22,13,1e-08,1.665260285221848e-08,0.00020898223738186061,0.00042362682870589197,7.91611018939875e-05,0.00037290906766429543
4,23,13,1e-08,1e-08,0.0003003952151630074,0.00041495810728520155,7.182575791375712e-05,0.0004028265830129385
4,24,13,1e-08,1e-08,0.0002926535962615162,0.00041039561619982123,5.836343552800827e-05,0.00039804770494811237
4,25,13,1e-08,2.177221070098767e-08,0.0005055481451563537,0.0006745635764673352,0.0001694021193543449,0.000655443174764514
4,26,13,1e-08,2.1118484738735788e-08,0.0004960748483426869,0.0006650963914580643,0.0001597050140844658,0.0006460229051299393
4,27,13,1e-08,2.319762337776865e-08,0.0005238835583440959,0.0006934978882782161,0.00018659353372640908,0.0006742614204995334
4,28,13,1e-08,1e-08,0.0002482411509845406,0.00035245204344391823,3.9255475712707266e-05,0.00033882359275594354
4,29,13,1e-08,2.2341422933891408e-08,0.00012642235378734767,0.0003891505184583366,4.3834363168571144e-05,0.00032147864112630486
4,30,13,1e-08,1e-08,0.0002618908474687487,0.0003748082381207496,4.149185770074837e-05,0.0003613595908973366
4,31,13,1e-08,1e-08,0.00025659395032562315,0.0002967897162307054,0.0001764217740856111,0.0002922584244515747
4,32,13,1e-08,1.3221455930079173e-08,0.0003959431196562946,0.0005098578403703868,0.000169357328559272,0.0004971203161403537
4,33,13,1e-08,1e-08,0.0003026362101081759,0.0004213455831632018,6.633839075220749e-05,0.0004077846824657172
4,34,13,1e-08,1e-08,0.00026168712065555155,0.0003743519773706794,4.217292371322401e-05,0.00036216972512193024
4,35,13,1e-08,2.232930107481934e-08,0.0005118636763654649,0.0006827760371379554,0.00017190250218845904,0.0006634889869019389
4,36,13,1e-08,1e-08,0.00028776415274478495,0.0004316111735533923,4.8667181545170024e-05,0.00041522271931171417
4,37,13,1e-08,1e-08,0.0002580200380180031,0.00037093012360855937,4.065039684064686e-05,0.0003582035715226084
4,38,13,1e-08,1e-08,0.00027890203637070954,0.00039431286859326065,4.9171041609952226e-05,0.0003817545948550105
4,39,13,1e-08,1e-08,0.00028491197736002505,0.00039990190998651087,5.531989882001653e-05,0.0003870507644023746
4,40,13,1e-08,1e-08,0.00030304366373457015,0.0004199768591206521,7.055410969769582e-05,0.00040661258390173316
4,41,13,1e-08,1.442491726066919e-08,0.0004134636255912483,0.0005324421217665076,0.00017679593292996287,0.0005190263036638498
4,42,13,1e-08,1.822675166351928e-08,0.00019830047676805407,0.0003260963421780616,6.974854477448389e-05,0.0003040452138520777
4,43,13,1e-08,1e-08,0.00029285732307471335,0.00041062376112677157,5.870395034435205e-05,0.0003972149861510843
4,44,13,1e-08,1e-08,0.00031445236527360976,0.0003989894175902009,0.00014622781600337476,0.0003894836991094053
4,45,13,1e-08,1e-08,0.00021462622680701315,0.00034150207648053765,4.674414230976254e-05,0.00032723843469284475
4,46,13,1e-08,1e-08,0.0002898014208767563,0.00040628938586451113,6.06566209171433e-05,0.0003932706022169441
4,47,13,1e-08,1e-08,0.0003146560920868069,0.00043320804252289236,7.859840843593702e-05,0.00042031484190374613
4,48,13,1e-08,1.1486588569198375e-08,0.00017560292326379567,0.00039944564923644066,6.366110756061971e-05,0.0003707389405462891
4,49,13,1e-08,1e-08,0.000277374085271731,0.00039488315815106034,4.7607205488020554e-05,0.0003814617812167853
5,0,16,1.0849920499822474e-06,6.336763362924103e-07,0.0011098774848505855,0.0035343298222869635,0.00029603400616906583,0.002983271377161145
5,1,16,1e-08,1e-08,7.018389442237094e-05,0.00010356843267800286,1.2032436643494293e-05,9.997452434618026e-05
5,2,16,1e-08,1e-08,0.0002805318508762866,0.0003965941141359508,4.96713983011432e-05,0.00038344485801644623
5,3,16,1e-08,1e-08,0.0001594162458786741,0.0002678179298527539,3.151081909891218e-05,0.00025548069970682263
5,4,16,1e-08,1.3724884340149401e-08,0.00040266610449180007,0.000519895285833627,0.00017107350868172944,0.0005068564205430448
