dim_hidden,seed,param_num,train_loss_bellman,test_loss_bellman,abs_rel_err_test_median,abs_rel_err_test_max,abs_rel_err_test_10_percentile,abs_rel_err_test_90_percentile
41,36,165,6.0017817304469645e-05,7.659022958250716e-05,0.0074782222509384155,0.015246609225869179,0.004576071631163359,0.012231145985424519
41,37,165,2.973214941448532e-05,6.906344788148999e-05,0.043682023882865906,0.05717095732688904,0.03526172786951065,0.052374523133039474
41,38,165,8.484086720272899e-05,0.0002510700433049351,0.01045597530901432,0.03124099411070347,0.0044526392593979836,0.023451143875718117
41,39,165,0.00014605176693294197,0.00017964362632483244,0.032209575176239014,0.09854266792535782,0.013516824692487717,0.08094782382249832
41,40,165,5.006037827115506e-05,5.642913674819283e-05,0.06766977906227112,0.14973516762256622,0.04095064848661423,0.12535028159618378
41,41,165,7.130439189495519e-05,0.00014212490350473672,0.008438127115368843,0.04101351648569107,0.002941397950053215,0.03420177474617958
41,42,165,3.379137342562899e-05,6.417182157747447e-05,0.005722633097320795,0.013202104717493057,0.0027102851308882236,0.009765608236193657
41,43,165,5.3373496484709904e-05,5.894762580282986e-05,0.013941424898803234,0.0485416054725647,0.0035967519506812096,0.04084770753979683
41,44,165,8.956334204412997e-05,0.00018912318046204746,0.004152726382017136,0.025506291538476944,0.0008014200138859451,0.02470584027469158
41,45,165,0.00021711493900511414,0.00023410024004988372,0.05080011487007141,0.14530615508556366,0.0053384010680019855,0.1262335181236267
41,46,165,0.00011434743646532297,0.00016029190737754107,0.011973707936704159,0.0526592992246151,0.0006214386085048318,0.037708867341279984
41,47,165,5.779662387794815e-05,0.00012354319915175438,0.028523238375782967,0.04575183987617493,0.02372562140226364,0.03798353672027588
41,48,165,0.00010869061952689663,0.00014904612908139825,0.019045766443014145,0.05611376464366913,0.008116772398352623,0.048448141664266586
41,49,165,0.0001009221887215972,0.00023315916769206524,0.012235235422849655,0.02168770134449005,0.005726990289986134,0.01901010423898697
61,0,245,4.6518820454366505e-05,0.00011289783287793398,0.025790030136704445,0.03709220886230469,0.020968012511730194,0.032072074711322784
61,1,245,6.221977673703805e-05,0.00012987137597519904,0.04240494593977928,0.05341941490769386,0.03661051020026207,0.049311041831970215
61,2,245,4.4867720134789124e-05,0.00010517063492443413,0.014088801108300686,0.037569981068372726,0.003587421029806137,0.028533482924103737
61,3,245,4.821487527806312e-05,0.00010427951201563701,0.015131921507418156,0.032925352454185486,0.003581995377317071,0.02605033665895462
61,4,245,2.7450616471469402e-05,4.244862066116184e-05,0.016304610297083855,0.04384774714708328,0.008527135476469994,0.035512447357177734
61,5,245,1.832043199101463e-05,5.1214166887803e-05,0.006522614508867264,0.020284609869122505,0.0029525437857955694,0.010917244479060173
61,6,245,8.963623258750886e-05,0.00020425624097697437,0.006971905007958412,0.027915261685848236,0.003505262779071927,0.026277482509613037
61,7,245,2.6870882720686495e-05,5.9852747654076666e-05,0.00966554693877697,0.020531468093395233,0.004177986644208431,0.013244224712252617
61,8,245,2.6010653527919203e-05,2.9858687412342988e-05,0.01094947662204504,0.04121655598282814,0.00494040735065937,0.035153843462467194
61,9,245,2.9515953428926878e-05,2.9841274226782843e-05,0.011872277595102787,0.03154386579990387,0.006221134215593338,0.025629902258515358
61,10,245,4.5042121200822294e-05,7.1247763116844e-05,0.014277639798820019,0.03846338018774986,0.008508153259754181,0.028734276071190834
61,11,245,4.6821875002933666e-05,0.00011553759395610541,0.003586911130696535,0.01944541372358799,0.0017651960952207446,0.009590139612555504
61,12,245,6.225534161785617e-05,0.00010902448411798105,0.02182121016085148,0.03418923541903496,0.0190120842307806,0.02796507067978382
61,13,245,5.148013588041067e-05,0.00010344308248022571,0.0030758597422391176,0.023338040336966515,0.0006004023598507047,0.015917494893074036
61,14,245,4.2981173464795575e-05,0.00012141247134422883,0.0027569036465138197,0.01341207418590784,0.0016089692944660783,0.00945216603577137
61,15,245,1.2279440852580592e-05,2.6273070034221746e-05,0.01683967001736164,0.04062462970614433,0.011617233976721764,0.03221463784575462
61,16,245,1.1260530300205573e-05,5.240251630311832e-05,0.047692012041807175,0.0713941901922226,0.03396664932370186,0.0633075088262558
61,17,245,8.956203237175941e-05,0.00018315827765036374,0.017258070409297943,0.03446758911013603,0.00781242037191987,0.03203620761632919
61,18,245,4.493483720580116e-05,5.346489342628047e-05,0.011525650508701801,0.024306779727339745,0.001001741853542626,0.017436938360333443
61,19,245,6.607741670450196e-05,0.00014757885946892202,0.014596243388950825,0.04037906974554062,0.00199087243527174,0.030091475695371628
61,20,245,5.0603237468749285e-05,9.652550215832889e-05,0.010184266604483128,0.019620416685938835,0.005084024742245674,0.015480135567486286
61,21,245,3.6986155464546755e-05,5.2985164074925706e-05,0.014171456918120384,0.019636230543255806,0.009293138980865479,0.017482951283454895
61,22,245,2.9011840524617583e-05,4.8236281145364046e-05,0.0018622615607455373,0.01380311232060194,0.0001697713742032647,0.006991377100348473
61,23,245,3.659419598989189e-05,8.763429650571197e-05,0.016410836949944496,0.028051316738128662,0.0009081190219148993,0.022458426654338837
61,24,245,3.96984614781104e-05,6.12978037679568e-05,0.011343494988977909,0.02606208249926567,0.006034085992723703,0.019399527460336685
61,25,245,4.3545092921704054e-05,0.00010026876407209784,0.026012208312749863,0.0456763319671154,0.02129472605884075,0.03334394469857216
61,26,245,6.841228605480865e-05,0.00014543478027917445,0.037532079964876175,0.07885581254959106,0.016283424571156502,0.06441570818424225
61,27,245,4.5407781726680696e-05,9.600732300896198e-05,0.02880183979868889,0.051563847810029984,0.024967513978481293,0.042466215789318085
61,28,245,2.3467940991395153e-05,5.455241262097843e-05,0.02412000298500061,0.03012973442673683,0.02144615352153778,0.027676301077008247
61,29,245,3.5496446798788384e-05,7.305397593881935e-05,0.006904008332639933,0.029878560453653336,0.0036431769840419292,0.02021249569952488
61,30,245,2.225753996754065e-05,4.826862277695909e-05,0.004794230684638023,0.012481065467000008,0.0025370761286467314,0.007128018885850906
61,31,245,6.378307443810627e-05,0.00010509190906304866,0.023607587441802025,0.06140970438718796,0.005054264795035124,0.049847252666950226
61,32,245,3.686311902129091e-05,9.096241410588846e-05,0.005304763559252024,0.013030976057052612,0.0016693485667929053,0.009271159768104553
61,33,245,0.00021190743427723646,0.0003151072305627167,0.0175293181091547,0.049967795610427856,0.006930326111614704,0.04208632931113243
61,34,245,2.334619603061583e-05,4.690004789154045e-05,0.007302307523787022,0.015438070520758629,0.001364000840112567,0.010647459886968136
61,35,245,2.0198100173729472e-05,3.753977216547355e-05,0.016388770192861557,0.021618084982037544,0.011727920733392239,0.0204249806702137
61,36,245,3.292848850833252e-05,5.477293598232791e-05,0.007710603065788746,0.02739630825817585,0.0012265730183571577,0.026451868936419487
61,37,245,1.663646435190458e-05,6.804772419854999e-05,0.041162051260471344,0.06973389536142349,0.03253138065338135,0.06462002545595169
61,38,245,4.64195036329329e-05,9.462273010285571e-05,0.014074512757360935,0.02761075273156166,0.009584780782461166,0.01965545117855072
61,39,245,3.138160172966309e-05,7.857233140384778e-05,0.021679552271962166,0.045740216970443726,0.01283666118979454,0.03479960560798645
61,40,245,3.3069245546357706e-05,0.00012851241626776755,0.053288571536540985,0.0788000300526619,0.04294882342219353,0.07344204187393188
61,41,245,3.0538198188878596e-05,4.610748146660626e-05,0.022713854908943176,0.027975134551525116,0.019056372344493866,0.02443845011293888
61,42,245,3.433896927163005e-05,7.887526589911431e-05,0.014193426817655563,0.018945571035146713,0.010726196691393852,0.017647219821810722
