dim_hidden,seed,n_params,train_loss,test_loss,abs_rel_err_median,abs_rel_err_max,abs_rel_err_10_percentile,abs_rel_err_90_percentile
2,15,15,0.00019695039372891188,4.1940922528738156e-05,0.01456359580564088,0.032117967708760874,0.0010056694267489234,0.030657149992156563
2,16,15,0.00019259192049503326,5.162438174011186e-05,0.010996160115473245,0.03399429193999921,0.001424720378184574,0.030806809564102908
2,17,15,0.0036346083506941795,0.0006644425448030233,0.35251715889450097,0.3876055081714254,0.11691758051074054,0.37958723935855454
2,18,15,0.001274959766305983,0.0005407564458437264,0.35674592785600895,0.3932365484767986,0.12504350279919474,0.38476004586712487
2,19,15,0.0066408999264240265,0.001672655693255365,0.3643625595303744,0.4009478062017685,0.12313727664185294,0.3915711880541841
2,20,15,0.001350328209809959,0.0005464521236717701,0.3526680743343444,0.38953005444230493,0.12231206380928782,0.38098782193429137
2,21,15,0.00034801848232746124,0.00010801619646372274,0.018244754480522495,0.05781994267081607,0.002516189460000797,0.052555482224947006
2,22,15,0.0030738094355911016,0.0004818741581402719,0.33869445946083004,0.37247585990829674,0.11168429367395366,0.36652819015948757
2,23,15,0.0009377023088745773,0.0004138383374083787,0.3374939795331194,0.37278946990884,0.11427188227076027,0.3659087328744646
2,24,15,0.0012726059649139643,0.00048298377078026533,0.3492655264157204,0.3854287132782459,0.1211011851439688,0.37745126396151407
2,25,15,0.0013281017309054732,0.0006049573421478271,0.35259250968331274,0.38924125578166,0.12029101585307649,0.3806799065403402
2,26,15,0.002918203128501773,0.0006157225579954684,0.3246377234711808,0.3594034852450737,0.0949160645560455,0.35277630805292665
2,27,15,0.000405748636694625,0.0001511602895334363,0.08102328740327537,0.1271929112312598,0.014270651706808978,0.12444828675792383
2,28,15,0.0005351825966499746,0.00022151203302200884,0.2269552645256103,0.24081103051968186,0.0887369096541001,0.23918127797828748
2,29,15,0.004110155627131462,0.0008269897080026567,0.3331952776257038,0.3682330540885269,0.09954333505834029,0.3608542110480739
2,30,15,0.0013373057590797544,0.0005204760236665606,0.34954133739198595,0.3858876563692153,0.11940202435390532,0.37772518580905007
2,31,15,0.002339966595172882,0.0005712563870474696,0.345795326748201,0.3814545635797411,0.11355221301628066,0.3735775530034682
2,32,15,0.0009149441029876471,0.0004468385595828295,0.3474196103083487,0.383072969930907,0.1207029693256299,0.37554608431639386
2,33,15,0.012998255901038647,0.004622302483767271,0.37320305340182636,0.4120055267441048,0.12696206990617948,0.4017748665892156
2,34,15,0.0008257740992121398,0.0003240405349060893,0.32115241087345514,0.35488682092631824,0.11029923952871906,0.34987649564733614
2,35,15,0.0005113861407153308,0.00025563008966855705,0.2539252497720334,0.2796474862487077,0.08002662464945134,0.27773735508682007
2,36,15,0.002968261484056711,0.0007708073826506734,0.3502475104420989,0.3864096949643348,0.11154614753506245,0.37783451041219956
2,37,15,0.0005521689890883863,0.00023758673341944814,0.2508730383000232,0.2648135472107799,0.09388616404217967,0.26388253321901944
2,38,15,0.006778044160455465,0.0015426540048792958,0.35757307563517915,0.3934270355379538,0.12189239166500122,0.38480834089815047
2,39,15,0.00027712658629752696,4.330263254814781e-05,0.010967927611918326,0.016994724963838585,0.004810828925060963,0.015904215656768573
2,40,15,0.0001847810490289703,4.906320828013122e-05,0.0162523908580436,0.02853960665576685,0.001977872496777816,0.026354981321834583
2,41,15,0.0010321094887331128,0.00040193850873038173,0.3382920420503831,0.37356889280682987,0.11592606823412913,0.3667531666672306
2,42,15,0.0006766635342501104,0.0003093082632403821,0.3110229694026602,0.342960103213187,0.1056073949271698,0.33992267097511175
2,43,15,0.001180614228360355,0.0004854752914980054,0.3530691372840653,0.3890087495158383,0.1233398089825226,0.38105069851979895
2,44,15,0.0026563876308500767,0.0009369953768327832,0.35856881813103797,0.39528361741271384,0.11815363117459532,0.38610828028450284
2,45,15,0.0009648287086747587,0.00045398788643069565,0.35740576409180996,0.3931676503205755,0.12864766528138136,0.38527838496923084
2,46,15,0.0008098792168311775,0.0004016845196019858,0.33942593954029787,0.37478865029086533,0.11699947954018902,0.36785001605832796
2,47,15,0.0031385875772684813,0.0006954025593586266,0.3284548076593795,0.3631207842179103,0.09564243705298167,0.3562133365595905
2,48,15,0.0010017708409577608,0.00043544627260416746,0.34080178648832726,0.37631614842622085,0.11565468556081353,0.369125148403443
2,49,15,0.001347015961073339,0.00031314289662986994,0.2937209455134208,0.32448639323010137,0.09362447687862605,0.32282202181544173
3,0,25,0.00041603026329539716,0.00022547223488800228,0.25552722037390474,0.27833888808679447,0.08658425987150566,0.2758822624408198
3,1,25,0.0006555460277013481,0.00024965518969111145,0.270042975974868,0.2921547308854721,0.09519123414640877,0.2897889871692657
3,2,25,0.00037210091250017285,0.00016401299217250198,0.11653165933699822,0.1529657366675183,0.05632636291107889,0.14868036294917583
